GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FileHandling,com.app.process1,Log,18,0,0,0,8,0,5,0,5,0
FileHandling,com.app.process1,LoggingTest,36,0,0,0,13,0,3,0,3,0
FileHandling,com.app.process1,CamculatorServiceImp,3,0,0,0,1,0,1,0,1,0
FileHandling,com.app.process1,MathOperations,2,20,2,2,1,5,2,4,0,4
FileHandling,com.app.process1,TransactionApp,14,0,2,0,6,0,3,0,2,0
FileHandling,com.app.process1,FundTransferService1,22,0,6,0,7,0,6,0,3,0
FileHandling,com.app.process1,FundTransferService,2,68,2,12,1,20,2,7,0,2
FileHandling,com.app.process1,ReadAndWriteOpr,38,0,2,0,10,0,3,0,2,0
FileHandling,Base,base,3,0,0,0,1,0,1,0,1,0
